# License GPL
#
# - modified hankaku kana to zenkaku kana
# - added basic japanese letters
# by M.Ohtsuka(mash)
# 
# Modified by mattn

##
## This file should use UTF-8 encoding
##
## User dictionary format:
## <text>,<text>,<reading>,<part-of-speech>
## or
## <text>,<token1> <token2> ... <tokenn>,<reading1> <reading2> ... <readingn>,<part-of-speech>
##

Wool,Wool,ウール,カスタム名詞
Woof,Woof,ウーフ,カスタム名詞
Wooer,Wooer,ウーアー,カスタム名詞
Woody,Woody,ウッディー,カスタム名詞
Woodsy,Woodsy,ウッジイ,カスタム名詞
Woodshed,Woodshed,ウッドゥシェド,カスタム名詞
Woods,Woods,ウッズ,カスタム名詞
Wooding,Wooding,ウッディング,カスタム名詞
Wooden,Wooden,ウッドゥン,カスタム名詞
Wooded,Wooded,ウッディド,カスタム名詞
Wood,Wood,ウッド,カスタム名詞
Woo,Woo,ウー,カスタム名詞
Wonted,Wonted,ウオンティド,カスタム名詞
Wont,Wont,ウオント,カスタム名詞
Wonk,Wonk,ウオンク,カスタム名詞
Wong,Wong,ウォン,カスタム名詞
Wondrous,Wondrous,ワンドゥラス,カスタム名詞
Wondering,Wondering,ワンダリング,カスタム名詞
Wonderfully,Wonderfully,ワンダフリー,カスタム名詞
Wonderful,Wonderful,ワンダフル,カスタム名詞
Wonderer,Wonderer,ワンダラー,カスタム名詞
Wonder,Wonder,ワンダー,カスタム名詞
Won't,Won't,ウォウント,カスタム名詞
Won,Won,ワン,カスタム名詞
Women,Women,ウィメン,カスタム名詞
Wombats,Wombats,ウォンバッツ,カスタム名詞
Wombat,Wombat,ウォンバット,カスタム名詞
Womb,Womb,ウーム,カスタム名詞
Womanizing,Womanizing,ウーマナイジング,カスタム名詞
Womanizer,Womanizer,ウーマナイザー,カスタム名詞
Womanize,Womanize,ウーマナイズ,カスタム名詞
Womanising,Womanising,ウーマナイジング,カスタム名詞
Womanise,Womanise,ウーマナイズ,カスタム名詞
Woman,Woman,ウーマン,カスタム名詞
Wolves,Wolves,ウルブズ,カスタム名詞
Wolverine,Wolverine,ウルバリン,カスタム名詞
Wolframite,Wolframite,ウルフラマイト,カスタム名詞
Wolfowitz,Wolfowitz,ウルフォウイッツ,カスタム名詞
Wolfish,Wolfish,ウルフィッシュ,カスタム名詞
Wolff,Wolff,ウルフ,カスタム名詞
Wolfer,Wolfer,ウルファー,カスタム名詞
Wolfe,Wolfe,ウルフ,カスタム名詞
Wolf,Wolf,ウルフ,カスタム名詞
Wolens,Wolens,ウォレンス,カスタム名詞
Woken,Woken,ウオウクン,カスタム名詞
Woke,Woke,ウオウク,カスタム名詞
Wok,Wok,ウォク,カスタム名詞
Wog,Wog,ウォグ,カスタム名詞
Woefully,Woefully,ウォウフリイ,カスタム名詞
Woe,Woe,ウォウ,カスタム名詞
Wodge,Wodge,ウッジ,カスタム名詞
Wobbly,Wobbly,ウォブリイ,カスタム名詞
Wobbling,Wobbling,ウォブリング,カスタム名詞
Wobble,Wobble,ウォブル,カスタム名詞
Wmail,Wmail,ダブリュメイル,カスタム名詞
Wmacro,Wmacro,ダブリュマクロ,カスタム名詞
Wizened,Wizened,ウィゼンド,カスタム名詞
Wizards,Wizards,ウィザーズ,カスタム名詞
Wizardry,Wizardry,ウィザードゥリイ,カスタム名詞
Wizard,Wizard,ウィザード,カスタム名詞
Wives,Wives,ワイブズ,カスタム名詞
Witty,Witty,ウィティー,カスタム名詞
Witting,Witting,ウィティング,カスタム名詞
Witticism,Witticism,ウィティシズム,カスタム名詞
Wittering,Wittering,ウィタリング,カスタム名詞
Witter,Witter,ウィター,カスタム名詞
Witted,Witted,ウィッティド,カスタム名詞
Wits,Wits,ウィッツ,カスタム名詞
Witnessing,Witnessing,ウィトゥネシング,カスタム名詞
Witnesses,Witnesses,ウィトゥネシズ,カスタム名詞
Witnessed,Witnessed,ウィトゥネスト,カスタム名詞
Witness,Witness,ウィトゥネス,カスタム名詞
Without,Without,ウィザウト,カスタム名詞
